songs,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Get Up And Get Down,The Dramatics,0.586,0.59,1,-15.898,0,0.0785,0.206,0,0.104,0.761,100.268,audio_features,319VLJA6mOZcC3zrLUsHgW,spotify:track:319VLJA6mOZcC3zrLUsHgW,https://api.spotify.com/v1/tracks/319VLJA6mOZcC3zrLUsHgW,https://api.spotify.com/v1/audio-analysis/319VLJA6mOZcC3zrLUsHgW,191227,4
Jack-Ass,Beck,0.714,0.555,2,-6.664,1,0.0287,0.163,0,0.0942,0.831,106.516,audio_features,7yRlbjPEW3iJQeJA4BrKxo,spotify:track:7yRlbjPEW3iJQeJA4BrKxo,https://api.spotify.com/v1/tracks/7yRlbjPEW3iJQeJA4BrKxo,https://api.spotify.com/v1/audio-analysis/7yRlbjPEW3iJQeJA4BrKxo,252280,4
Never Let Me Down Again,Depeche Mode,0.581,0.886,0,-6.505,1,0.0324,0.279,0.0297,0.691,0.586,106.067,audio_features,2H1BmB1b6Px9KJXIUpD03u,spotify:track:2H1BmB1b6Px9KJXIUpD03u,https://api.spotify.com/v1/tracks/2H1BmB1b6Px9KJXIUpD03u,https://api.spotify.com/v1/audio-analysis/2H1BmB1b6Px9KJXIUpD03u,290493,4
Just Stand Up!,Artists Stand Up To Cancer,0.56,0.958,0,-1.119,1,0.0792,0.174,0,0.705,0.599,176.524,audio_features,1EiwZsCTu8cGSRdog30oYY,spotify:track:1EiwZsCTu8cGSRdog30oYY,https://api.spotify.com/v1/tracks/1EiwZsCTu8cGSRdog30oYY,https://api.spotify.com/v1/audio-analysis/1EiwZsCTu8cGSRdog30oYY,217067,4
You'll Always Be Loved By Me,Brooks & Dunn,0.671,0.658,2,-6.563,1,0.0258,0.198,2.48e-05,0.297,0.568,103.122,audio_features,1migZXJuB0tB2pFucCtEm5,spotify:track:1migZXJuB0tB2pFucCtEm5,https://api.spotify.com/v1/tracks/1migZXJuB0tB2pFucCtEm5,https://api.spotify.com/v1/audio-analysis/1migZXJuB0tB2pFucCtEm5,181840,4
Honey Love,Narvel Felts,0.67,0.518,4,-8.887,1,0.0443,0.132,0,0.108,0.53,71.017,audio_features,1ZP0yvaWPl8vQV9ZH9jvT7,spotify:track:1ZP0yvaWPl8vQV9ZH9jvT7,https://api.spotify.com/v1/tracks/1ZP0yvaWPl8vQV9ZH9jvT7,https://api.spotify.com/v1/audio-analysis/1ZP0yvaWPl8vQV9ZH9jvT7,304733,4
Strange,Patsy Cline,0.286,0.0847,2,-9.883,1,0.0397,0.934,6.94e-06,0.121,0.112,70.743,audio_features,7sq2z9oX2S0CvgTqCZ0ko4,spotify:track:7sq2z9oX2S0CvgTqCZ0ko4,https://api.spotify.com/v1/tracks/7sq2z9oX2S0CvgTqCZ0ko4,https://api.spotify.com/v1/audio-analysis/7sq2z9oX2S0CvgTqCZ0ko4,255987,4
Take A Bow,Glee Cast,0.697,0.467,9,-7.536,1,0.0715,0.248,0,0.0941,0.572,82.082,audio_features,3goSVuTt3fDYDP6kRnFwuL,spotify:track:3goSVuTt3fDYDP6kRnFwuL,https://api.spotify.com/v1/tracks/3goSVuTt3fDYDP6kRnFwuL,https://api.spotify.com/v1/audio-analysis/3goSVuTt3fDYDP6kRnFwuL,229413,4
You'll Always Be The One I Love,Dean Martin,0.416,0.336,5,-14.243,1,0.0311,0.731,0,0.449,0.549,124.444,audio_features,42lA9iaBSjXJ0vlDyHfjs1,spotify:track:42lA9iaBSjXJ0vlDyHfjs1,https://api.spotify.com/v1/tracks/42lA9iaBSjXJ0vlDyHfjs1,https://api.spotify.com/v1/audio-analysis/42lA9iaBSjXJ0vlDyHfjs1,120360,3
The Rose,Bette Midler,0.437,0.372,5,-9.0,1,0.0373,0.784,0,0.107,0.439,141.786,audio_features,3qxzozdGFaBxQ0X4HkrMr0,spotify:track:3qxzozdGFaBxQ0X4HkrMr0,https://api.spotify.com/v1/tracks/3qxzozdGFaBxQ0X4HkrMr0,https://api.spotify.com/v1/audio-analysis/3qxzozdGFaBxQ0X4HkrMr0,174380,4
Same Ole Love (365 Days A Year),Anita Baker,0.535,0.619,3,-13.602,1,0.0472,0.0651,5.99e-05,0.0475,0.735,192.881,audio_features,4liqwUNS3CuCLZC3DfCIOY,spotify:track:4liqwUNS3CuCLZC3DfCIOY,https://api.spotify.com/v1/tracks/4liqwUNS3CuCLZC3DfCIOY,https://api.spotify.com/v1/audio-analysis/4liqwUNS3CuCLZC3DfCIOY,242173,4
Break It Off,Rihanna & Sean Paul,0.552,0.904,11,-4.891,0,0.114,0.0027,8.85e-06,0.0786,0.746,171.788,audio_features,78ul3D77noQsYjSwvwiPU1,spotify:track:78ul3D77noQsYjSwvwiPU1,https://api.spotify.com/v1/tracks/78ul3D77noQsYjSwvwiPU1,https://api.spotify.com/v1/audio-analysis/78ul3D77noQsYjSwvwiPU1,96133,4
Red Light,Linda Clifford,0.933,0.656,2,-5.85,1,0.322,0.129,0,0.161,0.934,119.987,audio_features,1YDebgap5OFwXEBG18NJvy,spotify:track:1YDebgap5OFwXEBG18NJvy,https://api.spotify.com/v1/tracks/1YDebgap5OFwXEBG18NJvy,https://api.spotify.com/v1/audio-analysis/1YDebgap5OFwXEBG18NJvy,159083,4
We Can Work It Out,Stevie Wonder,0.608,0.534,8,-11.541,1,0.0339,0.135,0,0.064,0.796,105.388,audio_features,41q8ZiB3LZl4HRmmzUTIo4,spotify:track:41q8ZiB3LZl4HRmmzUTIo4,https://api.spotify.com/v1/tracks/41q8ZiB3LZl4HRmmzUTIo4,https://api.spotify.com/v1/audio-analysis/41q8ZiB3LZl4HRmmzUTIo4,199507,4
I Melt With You,Modern English,0.541,0.81,0,-11.745,1,0.0367,0.000975,0.00158,0.0681,0.647,155.582,audio_features,6J2rMSRhgb4HuX6dWgM3nJ,spotify:track:6J2rMSRhgb4HuX6dWgM3nJ,https://api.spotify.com/v1/tracks/6J2rMSRhgb4HuX6dWgM3nJ,https://api.spotify.com/v1/audio-analysis/6J2rMSRhgb4HuX6dWgM3nJ,251573,4
Son Of Sagittarius,Eddie Kendricks,0.672,0.648,1,-11.05,1,0.0282,0.485,0.000321,0.199,0.895,111.552,audio_features,3Mb5KqmHlK2FusQVMm2mli,spotify:track:3Mb5KqmHlK2FusQVMm2mli,https://api.spotify.com/v1/tracks/3Mb5KqmHlK2FusQVMm2mli,https://api.spotify.com/v1/audio-analysis/3Mb5KqmHlK2FusQVMm2mli,215973,4
Can The Can,Suzi Quatro,0.646,0.831,10,-6.011,0,0.16,0.017,0.91,0.422,0.593,133.431,audio_features,6K0kK40E7PA2i9LsGmVCfK,spotify:track:6K0kK40E7PA2i9LsGmVCfK,https://api.spotify.com/v1/tracks/6K0kK40E7PA2i9LsGmVCfK,https://api.spotify.com/v1/audio-analysis/6K0kK40E7PA2i9LsGmVCfK,214400,4
Your Sweetness Is My Weakness,Barry White,0.681,0.732,9,-11.718,1,0.0461,0.0377,0.0395,0.0955,0.755,119.175,audio_features,5vzvMmlXXAyF4KGlwiKD0T,spotify:track:5vzvMmlXXAyF4KGlwiKD0T,https://api.spotify.com/v1/tracks/5vzvMmlXXAyF4KGlwiKD0T,https://api.spotify.com/v1/audio-analysis/5vzvMmlXXAyF4KGlwiKD0T,490800,4
Hitchcock Railway,Jose Feliciano,0.431,0.716,11,-10.94,1,0.0371,0.344,6.65e-06,0.237,0.802,120.622,audio_features,6NKILRisAPBG2rviVkW6gR,spotify:track:6NKILRisAPBG2rviVkW6gR,https://api.spotify.com/v1/tracks/6NKILRisAPBG2rviVkW6gR,https://api.spotify.com/v1/audio-analysis/6NKILRisAPBG2rviVkW6gR,276693,4
Like Strangers,The Everly Brothers,0.633,0.242,3,-8.523,0,0.0761,0.515,0,0.0839,0.694,98.219,audio_features,0Wc6cbF38a90b8wov9V63F,spotify:track:0Wc6cbF38a90b8wov9V63F,https://api.spotify.com/v1/tracks/0Wc6cbF38a90b8wov9V63F,https://api.spotify.com/v1/audio-analysis/0Wc6cbF38a90b8wov9V63F,160791,4
Molly (Sixteen Candles),Sponge,0.504,0.775,1,-7.844,1,0.0331,0.0614,2.26e-05,0.307,0.842,101.827,audio_features,6nvixw7XmqBSuYVpgCqvPY,spotify:track:6nvixw7XmqBSuYVpgCqvPY,https://api.spotify.com/v1/tracks/6nvixw7XmqBSuYVpgCqvPY,https://api.spotify.com/v1/audio-analysis/6nvixw7XmqBSuYVpgCqvPY,215000,4
